Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Nov 8,University of Missouri,University of Iowa,1,9,Loss,-0.82,5.23,-6.06,-0.6,18.6,1.82,3.77,0.6,M2
Nov 8,Central Michigan University,Schoolcraft College,1,8,Loss,-0.77,-0.21,-0.56,-0.033,0.9,1.77,8.21,0.033,M2
Nov 8,University of Minnesota Crookston,University of Wisconsin,5,2,Win,2.88,-1.67,4.55,2.232,24.3,2.12,3.67,0.768,M2
Nov 8,Aurora University,Roosevelt University,4,1,Win,1.06,-1.15,2.22,1.089,64.6,2.94,2.15,1.911,M2
Nov 8,Southern Methodist University,Texas A&M University,3,7,Loss,0.77,2.52,-1.75,-0.559,17.4,2.23,4.48,0.559,M2
Nov 8,Montana State University,University of Saint Thomas,0,3,Loss,-3.96,-1.75,-2.22,-1.181,38.8,3.96,4.75,1.181,M2
Nov 8,Montana Tech,Williston State College,2,11,Loss,-0.37,3.28,-3.65,-0.1,2.9,2.37,7.72,0.1,M2
Nov 8,Dakota College Bottineau,Texas Christian University,4,3,OT Win,-0.71,-2.99,2.28,1.327,21.4,3.71,5.99,0.673,M2
Nov 8,Trine University,Davenport University,9,4,Win,4.57,2.59,1.97,0.289,91.5,4.43,1.41,2.711,M2
Nov 8,Providence College,Rider University,1,4,Loss,-3.66,0.09,-3.74,-1.806,60.7,4.66,3.91,1.806,M2
Nov 8,Connecticut College,University of Connecticut,7,6,OT Win,2.82,2.71,0.11,0.551,48.2,3.18,3.29,1.449,M2
Nov 8,University of North Dakota,Gustavus Adolphus College,4,8,Loss,-1.11,1.85,-2.97,-1.12,36.8,5.11,6.15,1.12,M2
Nov 8,Michigan State University,North Carolina State University,2,4,Loss,-0.47,0.68,-1.15,-1.078,35.1,2.47,3.32,1.078,M2
Nov 8,Michigan Technological University,University of Wisconsin Oshkosh,4,3,Win,-0.34,0.6,-0.94,0.667,79,4.34,2.4,2.333,M2
Nov 8,University of Dayton,University of Michigan,2,3,Loss,0.15,-1.12,1.26,-0.513,15.8,1.85,4.12,0.513,M2
Nov 8,Florida Gulf Coast University,University of New Hampshire,5,2,Win,0.45,-0.57,1.02,0.673,78.8,4.55,2.57,2.327,M2
Nov 8,Rowan University,University of Maryland,7,0,Win,2.84,-3.34,6.17,1.139,62.7,4.16,3.34,1.861,M2
Nov 8,Merrimack College,Boston College,6,7,OT Loss,1.85,0.31,1.54,0.082,29.8,4.15,5.69,0.918,M2
Nov 8,Milwaukee School of Engineering,Marian University,0,9,Loss,-1.08,3.99,-5.07,-0.134,3.8,1.08,5.01,0.134,M2
Nov 8,Saint Johns University,University of Wisconsin Eau Claire,1,5,Loss,-0.73,1.33,-2.06,-0.59,18.2,1.73,3.67,0.59,M2
Nov 8,University of Delaware,University of Cincinnati,2,1,OT Win,-1.21,-3.71,2.51,1.508,15.2,2.21,4.71,0.492,M2
Nov 8,University of Providence,University of Montana,2,0,Win,-2.56,-4.17,1.61,1.341,55.6,4.56,4.17,1.659,M2
Nov 8,University of Nevada Reno,Idaho State University,8,6,Win,5.33,4.17,1.16,1.032,66.7,2.67,1.83,1.968,M2
Nov 8,Liberty University,Lindenwood University,2,4,Loss,0.38,1.32,-0.95,-0.909,28.9,1.62,2.68,0.909,M2
Nov 8,University of Utah,Weber State University,0,3,Loss,-5.07,-3.44,-1.63,-1.006,32.9,5.07,6.44,1.006,M2
Nov 8,Lake Superior State University,Concordia University of Wisconsin,1,2,Loss,-0.89,-0.63,-0.26,-1.088,35.3,1.89,2.63,1.088,M2
Nov 8,University of New Mexico,University of Texas,2,7,Loss,-0.44,2.39,-2.82,-0.602,18.9,2.44,4.61,0.602,M2
Nov 8,University of California Berkeley,Eastern Washington University,7,0,Win,1.3,-1.22,2.52,0.103,97.1,5.7,1.22,2.897,M2
Nov 8,East Texas Baptist University,Texas State University,3,2,OT Win,-1.64,-0.12,-1.52,-0.223,75.4,3.64,2.12,2.223,M2
Nov 8,Arizona State University,Northern Arizona University,6,5,Win,2.14,1.59,0.55,1.299,57.1,3.86,3.41,1.701,M2
Nov 8,Miami University,Indiana University,7,2,Win,3.33,-0.46,3.79,0.928,70.2,3.67,2.46,2.072,M2
