Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Feb 11,University of Minnesota Duluth,University of Wisconsin Eau Claire,8,2,Win,2.56,-4.89,7.45,2.014,32.2,5.44,6.89,0.986,W2
Feb 11,Villanova University,University of Pennsylvania,6,1,Win,-4.26,-2.6,-1.66,0.033,99,10.26,3.6,2.967,W2
Feb 11,University of Maryland,Lawrence Technological University,3,5,Loss,-2.83,-3.63,0.8,-0.586,18.7,5.83,8.63,0.586,W2
Feb 11,Harvard University,Boston University,8,0,Win,2.56,-4.56,7.12,1.162,61.8,5.44,4.56,1.838,W2
Feb 11,Bentley University,Sacred Heart University,9,11,Loss,5.81,2.56,3.24,-0.129,3.8,3.19,8.44,0.129,W2
Feb 11,Adrian College,Central Michigan University,0,4,Loss,-6.56,-1.42,-5.14,-1.91,64.2,6.56,5.42,1.91,W2
Feb 11,Providence College,Saint Anselm College,4,0,Win,-4.35,-3.79,-0.55,0.218,93.4,8.35,3.79,2.782,W2
Feb 11,Assumption University,University Of Connecticut,4,3,Win,-4.44,0.39,-4.83,0.074,97.8,8.44,2.61,2.926,W2
Feb 12,Northeastern University,Assumption University,1,4,Loss,-4.68,-0.19,-4.5,-2.065,69.6,5.68,4.19,2.065,W2
Feb 14,Northeastern University,Providence College,4,4,Tie,-1.01,-0.29,-0.73,-0.289,60.1,5.01,4.29,1.789,W2
Feb 16,Brockport State University,University of Pittsburgh,0,3,Loss,-4.52,-3.97,-0.55,-0.664,21.2,4.52,6.97,0.664,W2
Feb 16,Sacred Heart University,Assumption University,4,9,Loss,1.3,1.96,-0.65,-0.207,6.2,2.7,7.04,0.207,W2
Feb 16,University of Pennsylvania,Loyola University Maryland,15,1,Win,3.2,-0.97,4.17,0,100,11.8,1.97,3,W2
Feb 16,Miami University,Niagara University,5,2,Win,-0.12,-4.08,3.96,1.854,37.7,5.12,6.08,1.146,W2
Feb 16,Rowan University,University of Delaware,1,4,Loss,-2.5,-5.69,3.18,-0.058,1.7,3.5,9.69,0.058,W2
Feb 16,Lawrence Technological University,Robert Morris University,7,1,Win,-4.13,-2.74,-1.39,0.009,99.8,11.13,3.74,2.991,W2
